股票,模型,年化收益率,夏普比率,最大回撤,胜率,交易次数
中船特气,逻辑回归,0.1842,1.1185,-0.0334,0.5714,3
中船特气,决策树,1.8465,2.6443,-0.0292,0.6429,5
中船特气,随机森林,4.9095,3.3279,-0.0968,0.6286,22
中船特气,买入持有,3990.6594,7.8387,-0.1366,0.7231,0
天地科技,逻辑回归,-0.5831,-5.3782,-0.2076,0.2759,11
天地科技,决策树,-0.7917,-9.3503,-0.3410,0.2326,18
天地科技,随机森林,-0.6737,-6.0646,-0.2575,0.2821,15
天地科技,买入持有,-0.6417,-4.5424,-0.2388,0.4000,0
平安银行,逻辑回归,-0.1847,-2.6807,-0.0705,0.4118,10
平安银行,决策树,-0.2646,-3.1743,-0.1249,0.3333,16
平安银行,随机森林,-0.2766,-4.6091,-0.0956,0.2000,13
平安银行,买入持有,-0.0115,-0.0837,-0.1059,0.4769,0
组合,逻辑回归,-0.2489,-3.3725,-0.0685,,
组合,决策树,-0.1416,-0.8382,-0.1112,,
组合,随机森林,0.3916,1.3475,-0.0791,,
组合,买入持有,119.3921,6.8901,-0.1109,,
