股票,代码,短均线,长均线,累计回报,买入持有回报,年化收益,年化波动,夏普比率,最大回撤,交易次数,胜率
中船特气,688146.SH,5,15,846.48%,1179.83%,980.26%,74.57%,13.1055,-27.96%,7,42.86%
中船特气,688146.SH,5,20,642.85%,1179.83%,735.86%,72.33%,10.1317,-32.82%,7,28.57%
中船特气,688146.SH,10,20,624.71%,1179.83%,714.26%,72.13%,9.8608,-30.43%,6,33.33%
中船特气,688146.SH,5,30,648.39%,1179.83%,742.46%,73.00%,10.1292,-33.23%,6,33.33%
中船特气,688146.SH,10,30,632.86%,1179.83%,723.95%,72.76%,9.9083,-28.51%,6,33.33%
天地科技,600587.SH,5,15,2.03%,-23.38%,2.14%,18.16%,-0.0475,-14.87%,9,33.33%
天地科技,600587.SH,5,20,-1.03%,-23.38%,-1.08%,14.22%,-0.2871,-16.37%,8,25.00%
天地科技,600587.SH,10,20,-10.78%,-23.38%,-11.29%,14.50%,-0.9856,-22.49%,8,12.50%
天地科技,600587.SH,5,30,0.10%,-23.38%,0.11%,14.18%,-0.2041,-16.51%,4,50.00%
天地科技,600587.SH,10,30,-5.40%,-23.38%,-5.67%,14.02%,-0.6181,-18.71%,4,25.00%
平安银行,000001.SZ,5,15,-17.89%,-13.01%,-18.28%,9.63%,-2.2109,-20.38%,12,25.00%
平安银行,000001.SZ,5,20,-17.43%,-13.01%,-17.81%,9.41%,-2.2126,-19.93%,11,18.18%
平安银行,000001.SZ,10,20,-15.82%,-13.01%,-16.17%,10.07%,-1.9036,-15.82%,8,12.50%
平安银行,000001.SZ,5,30,-15.44%,-13.01%,-15.79%,9.37%,-2.0046,-18.01%,7,0.00%
平安银行,000001.SZ,10,30,-14.84%,-13.01%,-15.18%,8.62%,-2.1092,-14.84%,5,0.00%
